learner_id,event_date,grade,subject,activity_type,learning_style,connectivity,session_minutes,attempts,hints_used,accuracy,mastery_before,mastery_after,inactivity_days,completed,needs_remediation,origin
ELV-26c9659e1d,2026-01-29,Terminale C,Mathématiques,course,visuel,moyenne,35,2,2,0.5085,0.3912,0.4304,19,0,1,synthetic
ELV-26c9659e1d,2026-01-24,Terminale C,Physique-Chimie,course,visuel,moyenne,42,2,2,0.3168,0.3481,0.4375,1,1,1,synthetic
ELV-26c9659e1d,2026-02-04,Terminale C,SVT,exercise,visuel,moyenne,26,2,2,0.5101,0.4089,0.4518,17,1,1,synthetic
ELV-26c9659e1d,2026-02-06,Terminale C,Mathématiques,course,visuel,moyenne,26,2,3,0.3934,0.3832,0.4279,12,1,1,synthetic
ELV-26c9659e1d,2026-03-02,Terminale C,Physique-Chimie,exercise,visuel,moyenne,24,2,2,0.6275,0.5485,0.6182,17,1,1,synthetic
ELV-b0c4cca646,2026-01-07,3e,Physique-Chimie,course,visuel,bonne,21,1,2,0.5049,0.3996,0.5227,73,1,1,synthetic
ELV-b0c4cca646,2026-01-17,3e,SVT,course,visuel,bonne,47,3,1,0.5437,0.4624,0.5402,1,1,1,synthetic
ELV-b0c4cca646,2026-01-17,3e,Mathématiques,exercise,visuel,bonne,28,2,2,0.5191,0.4261,0.4556,10,1,1,synthetic
ELV-b0c4cca646,2026-01-15,3e,Physique-Chimie,laboratory,visuel,bonne,27,3,2,0.4949,0.339,0.4266,9,0,1,synthetic
ELV-b0c4cca646,2026-01-27,3e,SVT,exercise,visuel,bonne,26,3,3,0.2214,0.3101,0.3431,8,0,1,synthetic
ELV-b0c4cca646,2026-02-17,3e,Mathématiques,exam,visuel,bonne,51,3,2,0.6331,0.4786,0.6113,23,1,1,synthetic
ELV-b0c4cca646,2026-02-13,3e,Physique-Chimie,course,visuel,bonne,29,2,1,0.6662,0.5022,0.6007,2,1,0,synthetic
ELV-b0c4cca646,2026-02-23,3e,SVT,laboratory,visuel,bonne,34,1,1,0.5397,0.4937,0.5782,3,1,1,synthetic
ELV-2057ec9921,2026-01-07,3e,SVT,exam,auditif,faible,24,1,1,0.5806,0.6516,0.7269,1,1,0,synthetic
ELV-2057ec9921,2026-01-10,3e,Mathématiques,exercise,auditif,faible,27,1,0,0.7021,0.5619,0.6894,3,1,0,synthetic
ELV-2057ec9921,2026-01-21,3e,Physique-Chimie,exercise,auditif,faible,27,1,1,0.7453,0.5792,0.7045,1,1,0,synthetic
ELV-2057ec9921,2026-01-27,3e,SVT,laboratory,auditif,faible,38,3,2,0.5913,0.5338,0.6321,4,0,0,synthetic
ELV-2057ec9921,2026-01-29,3e,Mathématiques,exercise,auditif,faible,38,2,1,0.4611,0.4851,0.5941,3,0,1,synthetic
ELV-2057ec9921,2026-02-04,3e,Physique-Chimie,exercise,auditif,faible,24,3,1,0.4598,0.4914,0.5439,3,1,1,synthetic
ELV-2057ec9921,2026-02-02,3e,SVT,exercise,auditif,faible,36,3,1,0.609,0.5937,0.6399,7,1,0,synthetic
ELV-2057ec9921,2026-02-06,3e,Mathématiques,exam,auditif,faible,22,2,1,0.5934,0.5929,0.6367,6,0,0,synthetic
ELV-4ece4216ad,2026-01-07,Terminale D,Mathématiques,course,auditif,bonne,40,2,2,0.5237,0.4158,0.4892,26,0,1,synthetic
ELV-4ece4216ad,2026-01-14,Terminale D,Physique-Chimie,exam,auditif,bonne,41,4,1,0.5069,0.3111,0.3857,1,1,1,synthetic
ELV-4ece4216ad,2026-01-16,Terminale D,SVT,course,auditif,bonne,36,3,2,0.6572,0.4577,0.538,0,1,1,synthetic
ELV-4ece4216ad,2026-01-23,Terminale D,Mathématiques,laboratory,auditif,bonne,21,2,2,0.424,0.371,0.4573,8,1,1,synthetic
ELV-4ece4216ad,2026-02-03,Terminale D,Physique-Chimie,exam,auditif,bonne,40,3,2,0.4108,0.4455,0.5012,1,0,1,synthetic
ELV-4ece4216ad,2026-01-26,Terminale D,SVT,course,auditif,bonne,17,2,2,0.5683,0.4669,0.4997,11,0,1,synthetic
ELV-4ece4216ad,2026-01-29,Terminale D,Mathématiques,course,auditif,bonne,23,2,1,0.4974,0.3677,0.4271,3,1,1,synthetic
ELV-4ece4216ad,2026-01-30,Terminale D,Physique-Chimie,course,auditif,bonne,48,3,1,0.5202,0.3559,0.4133,29,1,1,synthetic
ELV-3ebcb0237d,2026-01-05,3e,Physique-Chimie,course,visuel,moyenne,20,2,2,0.5926,0.4493,0.4865,34,1,1,synthetic
ELV-3ebcb0237d,2026-01-09,3e,SVT,exam,visuel,moyenne,27,2,2,0.546,0.4915,0.507,2,1,1,synthetic
ELV-3ebcb0237d,2026-01-11,3e,Mathématiques,exercise,visuel,moyenne,35,2,2,0.4245,0.3527,0.3979,42,1,1,synthetic
ELV-3ebcb0237d,2026-02-02,3e,Physique-Chimie,course,visuel,moyenne,43,4,3,0.3887,0.3153,0.2937,4,0,1,synthetic
ELV-3ebcb0237d,2026-01-23,3e,SVT,laboratory,visuel,moyenne,50,2,1,0.6648,0.5436,0.6731,1,0,0,synthetic
ELV-3ebcb0237d,2026-02-16,3e,Mathématiques,course,visuel,moyenne,30,2,2,0.5457,0.4668,0.5443,21,1,1,synthetic
ELV-3ebcb0237d,2026-02-08,3e,Physique-Chimie,exercise,visuel,moyenne,28,2,2,0.5097,0.3978,0.4719,13,1,1,synthetic
ELV-3ebcb0237d,2026-03-05,3e,SVT,course,visuel,moyenne,37,2,2,0.5164,0.4865,0.5131,30,0,1,synthetic
ELV-a98e784332,2026-01-07,Terminale C,SVT,exam,visuel,moyenne,44,2,1,0.8321,0.7209,0.8155,5,0,0,synthetic
ELV-a98e784332,2026-01-12,Terminale C,Mathématiques,course,visuel,moyenne,30,2,2,0.6875,0.6172,0.7533,11,0,0,synthetic
ELV-a98e784332,2026-01-22,Terminale C,Physique-Chimie,exercise,visuel,moyenne,20,1,0,1.0,0.8765,1.0,11,1,0,synthetic
ELV-a98e784332,2026-01-17,Terminale C,SVT,course,visuel,moyenne,23,2,1,0.8456,0.7178,0.8357,21,1,1,synthetic
ELV-a98e784332,2026-01-21,Terminale C,Mathématiques,course,visuel,moyenne,35,2,0,0.8819,0.7624,0.8605,7,1,0,synthetic
ELV-a98e784332,2026-02-02,Terminale C,Physique-Chimie,exercise,visuel,moyenne,29,2,0,0.7709,0.6445,0.7591,12,1,0,synthetic
ELV-a98e784332,2026-02-17,Terminale C,SVT,laboratory,visuel,moyenne,28,2,1,0.5845,0.5784,0.7176,1,1,0,synthetic
ELV-a98e784332,2026-02-26,Terminale C,Mathématiques,exercise,visuel,moyenne,29,2,1,0.7937,0.7584,0.8661,31,1,1,synthetic
ELV-a61ba0f0c2,2026-01-09,3e,Mathématiques,course,visuel,moyenne,36,4,3,0.2503,0.2456,0.2721,1,0,1,synthetic
ELV-a61ba0f0c2,2026-01-08,3e,Physique-Chimie,exercise,visuel,moyenne,39,4,3,0.4114,0.3375,0.3657,12,1,1,synthetic
ELV-a61ba0f0c2,2026-01-22,3e,SVT,exercise,visuel,moyenne,40,2,3,0.3924,0.4023,0.4502,5,1,1,synthetic
ELV-a61ba0f0c2,2026-01-15,3e,Mathématiques,course,visuel,moyenne,40,4,3,0.2483,0.2699,0.3123,1,0,1,synthetic
ELV-a61ba0f0c2,2026-02-04,3e,Physique-Chimie,course,visuel,moyenne,35,4,2,0.3022,0.1708,0.1679,4,1,1,synthetic
ELV-a61ba0f0c2,2026-01-28,3e,SVT,exercise,visuel,moyenne,34,2,2,0.4195,0.3813,0.4502,4,0,1,synthetic
ELV-a61ba0f0c2,2026-02-01,3e,Mathématiques,exercise,visuel,moyenne,29,1,2,0.2772,0.2715,0.3527,24,0,1,synthetic
ELV-a61ba0f0c2,2026-01-29,3e,Physique-Chimie,exercise,visuel,moyenne,20,2,2,0.3805,0.4212,0.4565,18,1,1,synthetic
ELV-ae005ec826,2026-01-07,Terminale C,Physique-Chimie,exercise,auditif,faible,33,3,2,0.5584,0.5522,0.5925,2,0,1,synthetic
ELV-ae005ec826,2026-01-15,Terminale C,SVT,exercise,auditif,faible,34,3,2,0.3953,0.4049,0.4772,0,0,1,synthetic
ELV-ae005ec826,2026-01-15,Terminale C,Mathématiques,exercise,auditif,faible,36,2,1,0.5845,0.4791,0.5953,1,1,1,synthetic
ELV-ae005ec826,2026-01-16,Terminale C,Physique-Chimie,laboratory,auditif,faible,29,3,1,0.3575,0.4559,0.569,1,1,1,synthetic
ELV-ae005ec826,2026-02-02,Terminale C,SVT,exercise,auditif,faible,30,2,2,0.59,0.5444,0.5967,2,1,1,synthetic
ELV-ae005ec826,2026-02-04,Terminale C,Mathématiques,laboratory,auditif,faible,40,3,3,0.4327,0.3958,0.5153,3,1,1,synthetic
ELV-ae005ec826,2026-02-05,Terminale C,Physique-Chimie,exam,auditif,faible,37,2,1,0.6658,0.578,0.6856,3,1,0,synthetic
ELV-ae005ec826,2026-01-30,Terminale C,SVT,exercise,auditif,faible,22,2,2,0.4596,0.5104,0.4975,8,1,1,synthetic
ELV-ee32f99129,2026-01-07,3e,SVT,exercise,pratique,moyenne,26,2,0,0.5259,0.3866,0.5074,7,1,1,synthetic
ELV-ee32f99129,2026-01-15,3e,Mathématiques,laboratory,pratique,moyenne,20,3,2,0.5397,0.4451,0.5326,2,1,1,synthetic
ELV-ee32f99129,2026-01-23,3e,Physique-Chimie,exercise,pratique,moyenne,30,2,2,0.4769,0.388,0.4621,2,0,1,synthetic
ELV-ee32f99129,2026-01-29,3e,SVT,exam,pratique,moyenne,20,2,1,0.6759,0.5627,0.6647,13,0,0,synthetic
ELV-ee32f99129,2026-02-02,3e,Mathématiques,course,pratique,moyenne,34,4,2,0.5103,0.2901,0.333,21,1,1,synthetic
ELV-ee32f99129,2026-02-05,3e,Physique-Chimie,exercise,pratique,moyenne,39,2,1,0.7666,0.6069,0.652,20,1,1,synthetic
ELV-ee32f99129,2026-02-13,3e,SVT,course,pratique,moyenne,24,2,1,0.6386,0.5893,0.6753,1,1,0,synthetic
ELV-ee32f99129,2026-01-30,3e,Mathématiques,laboratory,pratique,moyenne,44,3,2,0.7231,0.5755,0.7327,1,0,0,synthetic
ELV-e67c4c2d04,2026-01-09,Terminale D,Mathématiques,course,visuel,bonne,21,2,1,0.6857,0.5461,0.6588,5,0,0,synthetic
ELV-e67c4c2d04,2026-01-12,Terminale D,Physique-Chimie,exam,visuel,bonne,38,2,1,0.6723,0.5764,0.6754,10,0,0,synthetic
ELV-e67c4c2d04,2026-01-13,Terminale D,SVT,exercise,visuel,bonne,38,2,1,0.7528,0.6191,0.7545,5,1,0,synthetic
ELV-e67c4c2d04,2026-01-21,Terminale D,Mathématiques,exercise,visuel,bonne,38,3,1,0.6315,0.5181,0.534,3,1,1,synthetic
ELV-e67c4c2d04,2026-02-02,Terminale D,Physique-Chimie,exercise,visuel,bonne,22,1,2,0.5423,0.5882,0.6169,7,1,1,synthetic
ELV-e67c4c2d04,2026-02-09,Terminale D,SVT,exercise,visuel,bonne,36,2,2,0.5898,0.5526,0.6303,1,1,0,synthetic
ELV-e67c4c2d04,2026-02-13,Terminale D,Mathématiques,course,visuel,bonne,32,3,2,0.5655,0.4348,0.4464,3,1,1,synthetic
ELV-e67c4c2d04,2026-02-11,Terminale D,Physique-Chimie,exercise,visuel,bonne,34,3,2,0.693,0.7341,0.8146,13,0,0,synthetic
ELV-c0e274f619,2026-01-06,Terminale C,Physique-Chimie,course,pratique,moyenne,30,2,3,0.238,0.27,0.306,9,0,1,synthetic
ELV-c0e274f619,2026-01-14,Terminale C,SVT,exercise,pratique,moyenne,46,3,2,0.4971,0.3764,0.4304,1,0,1,synthetic
ELV-c0e274f619,2026-01-20,Terminale C,Mathématiques,exercise,pratique,moyenne,35,2,3,0.3112,0.2784,0.3234,5,1,1,synthetic
ELV-c0e274f619,2026-01-21,Terminale C,Physique-Chimie,course,pratique,moyenne,30,2,1,0.3336,0.3009,0.3797,6,0,1,synthetic
ELV-c0e274f619,2026-02-09,Terminale C,SVT,exercise,pratique,moyenne,33,3,2,0.3641,0.4948,0.5262,3,1,1,synthetic
ELV-c0e274f619,2026-01-31,Terminale C,Mathématiques,course,pratique,moyenne,31,4,2,0.3437,0.2567,0.3135,14,1,1,synthetic
ELV-c0e274f619,2026-01-26,Terminale C,Physique-Chimie,course,pratique,moyenne,30,3,1,0.4131,0.3394,0.4011,2,1,1,synthetic
ELV-c0e274f619,2026-02-18,Terminale C,SVT,course,pratique,moyenne,29,2,2,0.2864,0.2455,0.3144,26,1,1,synthetic
ELV-85bc071884,2026-01-06,Terminale C,SVT,exercise,pratique,moyenne,53,5,3,0.2421,0.1435,0.1293,0,1,1,synthetic
ELV-85bc071884,2026-01-13,Terminale C,Mathématiques,exam,pratique,moyenne,32,2,3,0.3615,0.2764,0.3159,8,1,1,synthetic
ELV-85bc071884,2026-01-14,Terminale C,Physique-Chimie,exercise,pratique,moyenne,38,4,3,0.1787,0.0873,0.1618,1,1,1,synthetic
ELV-85bc071884,2026-01-18,Terminale C,SVT,course,pratique,moyenne,29,3,3,0.1447,0.2239,0.2118,3,1,1,synthetic
ELV-85bc071884,2026-01-24,Terminale C,Mathématiques,exercise,pratique,moyenne,40,3,3,0.1609,0.1545,0.1562,2,1,1,synthetic
ELV-85bc071884,2026-02-04,Terminale C,Physique-Chimie,exercise,pratique,moyenne,26,5,2,0.2166,0.2468,0.2758,1,1,1,synthetic
ELV-85bc071884,2026-01-24,Terminale C,SVT,exercise,pratique,moyenne,29,3,2,0.2663,0.1584,0.1938,1,1,1,synthetic
ELV-85bc071884,2026-01-26,Terminale C,Mathématiques,exercise,pratique,moyenne,37,4,4,0.1808,0.1281,0.1119,5,1,1,synthetic
ELV-3e86ea461e,2026-01-08,Terminale D,Mathématiques,exercise,auditif,moyenne,31,1,1,0.85,0.7762,0.9109,3,1,0,synthetic
ELV-3e86ea461e,2026-01-09,Terminale D,Physique-Chimie,course,auditif,moyenne,29,2,0,0.7261,0.6291,0.731,6,1,0,synthetic
ELV-3e86ea461e,2026-01-20,Terminale D,SVT,exercise,auditif,moyenne,29,1,1,0.8165,0.6917,0.7998,2,1,0,synthetic
ELV-3e86ea461e,2026-01-21,Terminale D,Mathématiques,laboratory,auditif,moyenne,19,1,2,0.7749,0.697,0.8276,1,1,0,synthetic
ELV-3e86ea461e,2026-02-06,Terminale D,Physique-Chimie,laboratory,auditif,moyenne,32,1,1,0.9656,0.8775,1.0,14,0,1,synthetic
ELV-3e86ea461e,2026-01-22,Terminale D,SVT,laboratory,auditif,moyenne,34,3,1,0.6055,0.6943,0.8061,6,0,0,synthetic
ELV-3e86ea461e,2026-02-12,Terminale D,Mathématiques,course,auditif,moyenne,38,1,1,0.9382,0.7819,0.9188,0,1,0,synthetic
ELV-3e86ea461e,2026-02-25,Terminale D,Physique-Chimie,exam,auditif,moyenne,46,3,1,0.8491,0.6924,0.818,17,1,1,synthetic
ELV-2206cdce1e,2026-01-08,Terminale D,Physique-Chimie,exercise,auditif,moyenne,24,3,3,0.5737,0.4352,0.5032,4,1,1,synthetic
ELV-2206cdce1e,2026-01-10,Terminale D,SVT,laboratory,auditif,moyenne,43,4,2,0.7018,0.6332,0.7437,8,0,0,synthetic
ELV-2206cdce1e,2026-01-13,Terminale D,Mathématiques,course,auditif,moyenne,37,3,1,0.605,0.485,0.5651,4,1,1,synthetic
ELV-2206cdce1e,2026-01-23,Terminale D,Physique-Chimie,course,auditif,moyenne,29,2,3,0.4018,0.4944,0.5718,1,1,1,synthetic
ELV-2206cdce1e,2026-01-20,Terminale D,SVT,exercise,auditif,moyenne,22,1,2,0.5649,0.5239,0.5675,58,1,1,synthetic
ELV-2206cdce1e,2026-02-13,Terminale D,Mathématiques,laboratory,auditif,moyenne,26,3,2,0.3606,0.381,0.4583,9,1,1,synthetic
ELV-2206cdce1e,2026-01-27,Terminale D,Physique-Chimie,laboratory,auditif,moyenne,32,1,1,0.5247,0.4732,0.5813,9,1,1,synthetic
ELV-2206cdce1e,2026-02-03,Terminale D,SVT,course,auditif,moyenne,39,1,1,0.8379,0.6397,0.7093,11,0,0,synthetic
ELV-a09cf0c81d,2026-01-05,Terminale D,SVT,exercise,pratique,bonne,26,2,1,0.6642,0.5265,0.5868,10,1,1,synthetic
ELV-a09cf0c81d,2026-01-10,Terminale D,Mathématiques,exam,pratique,bonne,27,3,2,0.5829,0.5293,0.5899,2,1,1,synthetic
ELV-a09cf0c81d,2026-01-16,Terminale D,Physique-Chimie,exercise,pratique,bonne,37,2,2,0.4794,0.4216,0.4389,14,1,1,synthetic
ELV-a09cf0c81d,2026-01-17,Terminale D,SVT,course,pratique,bonne,33,2,2,0.6713,0.5559,0.619,3,1,0,synthetic
ELV-a09cf0c81d,2026-01-29,Terminale D,Mathématiques,course,pratique,bonne,36,3,2,0.519,0.368,0.4191,22,0,1,synthetic
ELV-a09cf0c81d,2026-02-02,Terminale D,Physique-Chimie,course,pratique,bonne,29,2,1,0.5179,0.493,0.5759,2,0,1,synthetic
ELV-a09cf0c81d,2026-02-24,Terminale D,SVT,exercise,pratique,bonne,16,2,2,0.6945,0.5267,0.6037,1,1,0,synthetic
ELV-a09cf0c81d,2026-02-26,Terminale D,Mathématiques,course,pratique,bonne,42,3,2,0.6691,0.567,0.6713,0,1,0,synthetic
ELV-9ec9496b39,2026-01-06,Terminale C,Mathématiques,course,auditif,bonne,40,2,3,0.1816,0.1821,0.2002,2,0,1,synthetic
ELV-9ec9496b39,2026-01-12,Terminale C,Physique-Chimie,course,auditif,bonne,22,3,3,0.244,0.2017,0.2005,18,1,1,synthetic
ELV-9ec9496b39,2026-01-17,Terminale C,SVT,laboratory,auditif,bonne,31,4,3,0.3498,0.2184,0.3075,28,0,1,synthetic
ELV-9ec9496b39,2026-01-20,Terminale C,Mathématiques,exercise,auditif,bonne,40,5,3,0.0595,0.0,0.0,7,1,1,synthetic
ELV-9ec9496b39,2026-01-28,Terminale C,Physique-Chimie,exam,auditif,bonne,42,3,3,0.2539,0.1064,0.1282,3,1,1,synthetic
ELV-9ec9496b39,2026-01-27,Terminale C,SVT,exam,auditif,bonne,34,3,3,0.181,0.1321,0.1079,50,1,1,synthetic
ELV-9ec9496b39,2026-02-17,Terminale C,Mathématiques,exam,auditif,bonne,26,4,3,0.0301,0.0577,0.0895,16,0,1,synthetic
ELV-9ec9496b39,2026-02-24,Terminale C,Physique-Chimie,exam,auditif,bonne,30,4,3,0.193,0.1039,0.1193,15,0,1,synthetic
ELV-9d49a184e9,2026-01-07,Terminale C,Physique-Chimie,exam,auditif,moyenne,43,2,3,0.4234,0.3352,0.3181,10,1,1,synthetic
ELV-9d49a184e9,2026-01-11,Terminale C,SVT,exercise,auditif,moyenne,39,2,3,0.4109,0.3441,0.4143,19,1,1,synthetic
ELV-9d49a184e9,2026-01-20,Terminale C,Mathématiques,course,auditif,moyenne,55,4,2,0.3417,0.2013,0.2407,1,1,1,synthetic
ELV-9d49a184e9,2026-01-17,Terminale C,Physique-Chimie,exercise,auditif,moyenne,51,3,3,0.2137,0.1589,0.1508,1,0,1,synthetic
ELV-9d49a184e9,2026-01-30,Terminale C,SVT,laboratory,auditif,moyenne,23,1,3,0.4458,0.4235,0.4545,4,1,1,synthetic
ELV-9d49a184e9,2026-01-25,Terminale C,Mathématiques,laboratory,auditif,moyenne,37,3,2,0.1455,0.1304,0.1898,16,0,1,synthetic
ELV-9d49a184e9,2026-02-23,Terminale C,Physique-Chimie,laboratory,auditif,moyenne,27,3,3,0.536,0.4734,0.5755,1,1,1,synthetic
ELV-9d49a184e9,2026-02-16,Terminale C,SVT,exercise,auditif,moyenne,33,3,2,0.3027,0.1974,0.2414,12,1,1,synthetic
ELV-8c137960d5,2026-01-06,3e,SVT,course,visuel,bonne,19,2,3,0.535,0.5362,0.6145,4,1,1,synthetic
ELV-8c137960d5,2026-01-11,3e,Mathématiques,exercise,visuel,bonne,35,3,2,0.4733,0.4159,0.4682,2,0,1,synthetic
ELV-8c137960d5,2026-01-14,3e,Physique-Chimie,exercise,visuel,bonne,34,4,2,0.3942,0.3003,0.3539,2,1,1,synthetic
ELV-8c137960d5,2026-02-01,3e,SVT,course,visuel,bonne,16,1,1,0.5662,0.4518,0.5337,4,0,1,synthetic
ELV-8c137960d5,2026-01-27,3e,Mathématiques,exercise,visuel,bonne,18,1,2,0.5189,0.422,0.4666,0,1,1,synthetic
ELV-8c137960d5,2026-02-06,3e,Physique-Chimie,exam,visuel,bonne,31,3,2,0.4388,0.3225,0.4027,3,0,1,synthetic
ELV-8c137960d5,2026-02-17,3e,SVT,exercise,visuel,bonne,23,3,2,0.3167,0.2381,0.2597,0,1,1,synthetic
ELV-8c137960d5,2026-01-29,3e,Mathématiques,course,visuel,bonne,24,1,1,0.5177,0.3935,0.4427,5,0,1,synthetic
ELV-e33b65c1b4,2026-01-07,Terminale D,Mathématiques,laboratory,auditif,faible,27,3,3,0.3117,0.3443,0.43,14,1,1,synthetic
ELV-e33b65c1b4,2026-01-10,Terminale D,Physique-Chimie,exam,auditif,faible,27,3,4,0.1747,0.3093,0.3456,4,1,1,synthetic
ELV-e33b65c1b4,2026-01-20,Terminale D,SVT,exercise,auditif,faible,26,3,2,0.3874,0.317,0.356,9,1,1,synthetic
ELV-e33b65c1b4,2026-01-18,Terminale D,Mathématiques,exercise,auditif,faible,28,2,3,0.2877,0.3765,0.4,1,1,1,synthetic
ELV-e33b65c1b4,2026-02-01,Terminale D,Physique-Chimie,exercise,auditif,faible,35,2,2,0.4363,0.3504,0.4042,2,1,1,synthetic
ELV-e33b65c1b4,2026-02-05,Terminale D,SVT,exercise,auditif,faible,28,3,2,0.3944,0.3193,0.3545,8,1,1,synthetic
ELV-e33b65c1b4,2026-02-22,Terminale D,Mathématiques,course,auditif,faible,27,4,1,0.3422,0.309,0.4151,0,1,1,synthetic
ELV-e33b65c1b4,2026-02-13,Terminale D,Physique-Chimie,exam,auditif,faible,42,3,3,0.3674,0.3787,0.4005,18,1,1,synthetic
ELV-163e1c308a,2026-01-07,3e,Physique-Chimie,exercise,auditif,faible,18,2,1,0.4707,0.51,0.5438,7,1,1,synthetic
ELV-163e1c308a,2026-01-10,3e,SVT,exercise,auditif,faible,25,2,3,0.4567,0.4864,0.5499,4,1,1,synthetic
ELV-163e1c308a,2026-01-16,3e,Mathématiques,exercise,auditif,faible,29,3,1,0.6782,0.6165,0.7279,2,1,0,synthetic
ELV-163e1c308a,2026-01-30,3e,Physique-Chimie,course,auditif,faible,31,3,1,0.5588,0.5208,0.6074,3,1,0,synthetic
ELV-163e1c308a,2026-01-21,3e,SVT,exercise,auditif,faible,27,2,0,0.615,0.633,0.7063,6,1,0,synthetic
ELV-163e1c308a,2026-01-20,3e,Mathématiques,laboratory,auditif,faible,23,2,2,0.4734,0.4415,0.5341,0,1,1,synthetic
ELV-163e1c308a,2026-02-26,3e,Physique-Chimie,course,auditif,faible,27,1,0,0.5595,0.6491,0.7375,13,1,0,synthetic
ELV-163e1c308a,2026-01-28,3e,SVT,course,auditif,faible,32,2,2,0.5259,0.5577,0.6225,25,1,1,synthetic
ELV-1354152e53,2026-01-07,3e,SVT,exercise,auditif,bonne,48,1,3,0.504,0.4579,0.4866,4,1,1,synthetic
ELV-1354152e53,2026-01-09,3e,Mathématiques,course,auditif,bonne,21,2,2,0.4407,0.4446,0.484,3,1,1,synthetic
ELV-1354152e53,2026-01-20,3e,Physique-Chimie,exam,auditif,bonne,23,2,2,0.599,0.4315,0.4728,4,1,1,synthetic
